seconds, weight, velocity
12.000000,2897000.000000,0.000000
13.000000,2897000.000000,0.000000
14.000000,2897000.000000,0.000000
15.000000,2897000.000000,0.000000
16.000000,2897000.000000,0.000000
17.000000,2897000.000000,0.000000
18.000000,2897000.000000,0.000000
19.000000,2897000.000000,0.000000
20.000000,2897000.000000,0.000000
21.000000,2897000.000000,0.000000
22.000000,2897000.000000,0.000000
23.000000,2897000.000000,0.000000
24.000000,2897000.000000,0.000000
25.000000,2897000.000000,0.000000
26.000000,2897000.000000,0.000000
27.000000,2897000.000000,0.000000
28.000000,2897000.000000,0.000000
29.000000,2897000.000000,0.000000
30.000000,2897000.000000,0.000000
31.000000,2897000.000000,0.000000
32.000000,2897000.000000,0.000000
33.000000,2897000.000000,0.000000
34.000000,2897000.000000,0.000000
35.000000,2897000.000000,0.000000
36.000000,2897000.000000,0.000000
37.000000,2897000.000000,0.000000
38.000000,2897000.000000,0.000000
39.000000,2897000.000000,0.000000
40.000000,2897000.000000,0.000000
41.000000,2897000.000000,0.000000
42.000000,2897000.000000,0.000000
43.000000,2897000.000000,0.000000
44.000000,2897000.000000,0.000000
45.000000,2897000.000000,0.000000
46.000000,2897000.000000,0.000000
47.000000,2897000.000000,0.000000
48.000000,2897000.000000,0.000000
49.000000,2897000.000000,0.000000
0.000000,2897000.000000,0.000000
1.000000,2897000.000000,-0.000000
2.000000,2897000.000000,0.000000
3.000000,2897000.000000,0.000000
4.000000,2897000.000000,0.000000
5.000000,2897000.000000,0.000000
6.000000,2897000.000000,0.000000
7.000000,2897000.000000,0.000000
8.000000,2897000.000000,0.000000
9.000000,2897000.000000,0.000000
10.000000,2897000.000000,0.000000
11.000000,2897000.000000,0.000000
12.000000,2897000.000000,0.000000
13.000000,2897000.000000,0.000000
14.000000,2897000.000000,0.000000
15.000000,2897000.000000,0.000000
16.000000,2897000.000000,0.000000
17.000000,2897000.000000,0.000000
18.000000,2897000.000000,0.000000
19.000000,2897000.000000,0.000000
20.000000,2897000.000000,0.000000
21.000000,2897000.000000,0.000000
22.000000,2897000.000000,0.000000
23.000000,2897000.000000,0.000000
24.000000,2897000.000000,0.000000
25.000000,2897000.000000,0.000000
26.000000,2897000.000000,0.000000
27.000000,2897000.000000,0.000000
28.000000,2897000.000000,0.000000
29.000000,2897000.000000,0.000000
30.000000,2897000.000000,0.000000
31.000000,2897000.000000,0.000000
32.000000,2897000.000000,0.000000
33.000000,2897000.000000,0.000000
34.000000,2897000.000000,0.000000
35.000000,2897000.000000,0.000000
36.000000,2897000.000000,0.000000
37.000000,2897000.000000,0.000000
38.000000,2897000.000000,0.000000
39.000000,2897000.000000,0.000000
40.000000,2897000.000000,0.000000
41.000000,2897000.000000,0.000000
42.000000,2897000.000000,0.000000
43.000000,2897000.000000,0.000000
44.000000,2897000.000000,0.000000
45.000000,2897000.000000,0.000000
46.000000,2897000.000000,0.000000
47.000000,2897000.000000,0.000000
48.000000,2897000.000000,0.000000
49.000000,2897000.000000,0.000000
0.000000,2897000.000000,0.000000
1.000000,2853980.000000,44.252537
2.000000,2810960.000000,122585271.707283
3.000000,2767940.000000,339308675162618.062500
4.000000,2724920.000000,924588995124119339008.000000
5.000000,2681900.000000,2479655226023375649676197888.000000
6.000000,2638880.000000,6543512582848565237004027815788544.000000
7.000000,2595860.000000,16986042573313275831970055230295409426432.000000
8.000000,2552840.000000,43362648922857063976474297843027020395845779456.000000
9.000000,2509820.000000,108832443519565122735084626335668131670206386865700864.000000
10.000000,2466800.000000,268467871674063240310311985084346352785808376875623844413440.000000
11.000000,2423780.000000,650707058006161022059781102657726264517839035838570806047481528320.000000
12.000000,2380760.000000,1549177335418747888804171598093895120597982402377257603505121922381774848.000000
13.000000,2337740.000000,3621573824101823501688424243567740426284837313237340939846386147992405301788672.000000
14.000000,2294720.000000,8310497885642937270372711989111263331632444395547940590943240560074867275880963506176.000000
15.000000,2251700.000000,18712748089102202020045632476797263546945340038116502664814344818300647498625456393768927232.000000
16.000000,2208680.000000,41330472449438253374209631516178382904704739197935227484784984044019852909284515339932710272499712.000000
